Gene ID	Gene Symbol	h1a TPM	h1a Read Count	h1b TPM	h1b Read Count	h2a TPM	h2a Read Count	h2b TPM	h2b Read Count	h2c TPM	h2c Read Count	h1a FPKM	h1b FPKM	h2a FPKM	h2b FPKM	h2c FPKM
100129583	FAM47E	5.55	82.0	0.0	0.0	2.91	45.26	7.45	27.0	0.86	6.18	4.97	0.0	2.32	6.91	0.96
100129654	TCF24	0.0	0.0	0.0	0.0	0.07	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0
100129792	CCDC152	6.52	237.46	14.67	32.73	0.04	1.66	3.56	30.52	1.44	25.26	5.84	10.7	0.03	3.3	1.6
100129842	ZNF737	1.75	118.0	0.0	0.0	0.07	7.0	0.41	5.84	0.25	11.0	1.56	0.0	0.06	0.38	0.28
100129924	TMEM269	0.72	25.0	80.24	171.4	0.77	29.0	16.73	137.26	0.83	14.0	0.64	58.57	0.61	15.53	0.93
10013	HDAC6	65.68	2765.0	15.78	42.0	15.33	715.0	4.01	41.0	3.09	65.0	58.87	11.52	12.22	3.72	3.46
100130086	HSFX2	0.0	0.0	0.0	0.0	0.34	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0
100130274	CCDC166	0.0	0.0	0.0	0.0	0.08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0
100130311	C17orf107	1.72	57.0	0.0	0.0	0.31	11.0	0.0	0.0	0.12	2.0	1.54	0.0	0.24	0.0	0.14
100130361	CXorf49	0.08	1.5	0.0	0.0	0.03	0.5	0.0	0.0	0.0	0.0	0.08	0.0	0.02	0.0	0.0
100130519	TMEM221	0.5	10.0	0.0	0.0	0.44	9.0	3.81	13.0	0.77	6.0	0.45	0.0	0.35	3.53	0.86
100130520	CD300H	0.0	0.0	0.0	0.0	0.13	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
100130705	ATP6V1FNB	7.71	315.0	0.0	0.0	1.15	51.0	0.0	0.0	0.1	2.0	6.91	0.0	0.92	0.0	0.11
100130733	LRRC70	0.28	6.0	0.0	0.0	2.85	66.0	2.77	14.0	0.48	5.0	0.25	0.0	2.27	2.57	0.54
100130742	LRRC69	2.98	21.0	0.0	0.0	0.42	3.0	0.0	0.0	0.0	0.0	2.67	0.0	0.33	0.0	0.0
100130771	EFCAB10	0.91	10.34	0.0	0.0	1.84	19.95	1.6	5.0	0.57	2.0	0.82	0.0	1.47	1.48	0.64
100130890	TSTD3	4.26	21.0	7.5	8.38	1.36	3.0	43.06	36.03	4.39	22.0	3.82	5.47	1.08	39.95	4.9
100130933	SMIM6	2.76	27.0	0.0	0.0	3.9	41.0	19.7	46.0	13.99	67.0	2.48	0.0	3.11	18.28	15.62
100130958	SYCE1L	1.36	12.0	0.0	0.0	1.76	14.0	0.0	0.0	3.54	13.0	1.22	0.0	1.4	0.0	3.96
100131017	ZNF316	19.98	1161.0	17.46	84.0	13.75	868.0	2.81	52.0	2.58	98.0	17.91	12.74	10.95	2.61	2.88
100131187	TSTD1	170.33	521.0	141.48	31.0	137.17	439.0	130.11	93.0	147.9	243.0	152.67	103.26	109.3	120.73	165.18
100131211	NEMP2	1.41	55.0	0.0	0.0	1.48	62.0	0.0	0.0	0.61	9.0	1.26	0.0	1.18	0.0	0.68
100131244	ANKRD63	0.04	2.0	0.0	0.0	0.21	10.0	0.0	0.0	0.0	0.0	0.04	0.0	0.16	0.0	0.0
100131378	C11orf91	0.0	0.0	0.0	0.0	0.19	2.0	0.0	0.0	0.29	1.0	0.0	0.0	0.15	0.0	0.32
100131539	ZNF705E	0.45	16.0	0.0	0.0	0.08	3.0	0.0	0.0	0.0	0.0	0.4	0.0	0.06	0.0	0.0
100131608	PRR23D1	0.0	0.0	0.0	0.0	0.0	0.02	0.71	4.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0
100131755	ARMCX4	0.56	45.0	0.0	0.0	0.49	43.0	0.0	0.0	0.0	0.0	0.5	0.0	0.39	0.0	0.0
100131801	PET100	62.8	274.0	277.2	79.0	48.59	225.0	19.62	21.0	32.38	71.0	56.3	202.31	38.72	18.2	36.17
100131827	ZNF717	6.46	171.0	25.57	41.0	5.08	116.0	9.59	59.0	1.15	17.0	5.79	18.66	4.05	8.9	1.28
100131897	INSYN2B	0.08	5.0	28.56	107.0	0.03	2.0	0.42	6.0	0.57	17.0	0.07	20.84	0.02	0.39	0.64
100132074	FOXO6	2.64	78.0	0.0	0.0	2.59	83.0	0.0	0.0	0.07	1.0	2.37	0.0	2.06	0.0	0.08
100132146	FAM240A	0.0	0.0	0.0	0.0	0.11	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0
100132202	LOC100132202	0.0	0.0	0.0	0.0	0.0	0.0	0.53	3.07	0.0	0.0	0.0	0.0	0.0	0.49	0.0
100132247	NPIPB5	135.06	5414.4	0.0	0.0	90.28	3933.2	8.21	77.39	7.38	142.95	121.06	0.0	71.93	7.61	8.25
100132406	NBPF10	2.89	411.2	0.0	0.0	2.0	306.26	2.13	69.35	1.74	116.25	2.59	0.0	1.59	1.98	1.94
100132565	GOLGA8F	0.02	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0
100132911	DPH3P1	1.77	27.0	0.0	0.0	1.35	22.33	5.76	20.87	1.21	9.0	1.58	0.0	1.08	5.34	1.35
100132994	CXorf49B	0.08	1.5	0.0	0.0	0.03	0.5	0.0	0.0	0.0	0.0	0.08	0.0	0.02	0.0	0.0
100133204	C9orf147	0.26	9.0	14.55	31.0	0.05	2.0	0.0	0.0	0.0	0.0	0.23	10.62	0.04	0.0	0.0
100133220	GOLGA6L3	0.66	10.83	0.0	0.0	0.11	1.96	0.0	0.0	0.0	0.0	0.59	0.0	0.09	0.0	0.0
100133251	PRR23D2	0.0	0.0	0.0	0.0	0.12	1.98	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
100133315	LOC100133315	0.74	15.0	32.65	99.0	0.42	14.0	0.37	4.0	0.63	15.0	0.67	23.83	0.34	0.34	0.7
100133941	CD24	130.97	2804.0	115.86	152.0	781.13	18077.0	296.24	1504.17	286.24	2968.12	117.4	84.56	622.41	274.87	319.69
100134444	KCNJ18	0.0	0.0	0.0	0.0	0.04	1.0	0.39	2.0	0.0	0.0	0.0	0.0	0.03	0.36	0.0
100134934	TEN1	70.77	558.0	0.0	0.0	31.17	264.0	36.42	69.0	47.1	183.0	63.43	0.0	24.84	33.79	52.6
100134938	UPK3BL1	130.54	1573.53	105.83	79.58	63.23	822.77	23.58	67.67	17.84	105.05	117.02	77.24	50.38	21.88	19.92
100137047	JMJD7	3.86	49.45	0.0	0.0	10.26	141.99	15.42	47.0	2.4	15.01	3.46	0.0	8.17	14.31	2.68
100137049	PLA2G4B	24.56	683.48	0.0	0.0	27.7	836.69	0.0	0.0	0.0	0.0	22.01	0.0	22.07	0.0	0.0
10014	HDAC5	22.83	1263.0	24.71	82.0	8.64	529.0	3.76	48.0	3.13	87.0	20.46	18.03	6.89	3.49	3.49
100141515	C17orf99	0.0	0.0	1.77	1.0	0.34	3.0	12.29	27.0	0.0	0.0	0.0	1.29	0.27	11.4	0.0
100142659	CTAGE8	5.12	164.45	0.0	0.0	6.32	220.35	3.25	24.53	2.48	38.42	4.59	0.0	5.04	3.01	2.76
100144748	KLLN	0.51	23.0	26.71	74.0	0.47	23.0	2.07	22.0	0.46	10.07	0.46	19.49	0.37	1.92	0.51
10015	PDCD6IP	17.06	1033.0	0.0	0.0	36.88	2506.0	26.63	365.0	15.47	472.0	15.29	0.0	29.38	24.71	17.28
10016	PDCD6	51.17	474.0	0.0	0.0	149.32	1429.0	159.59	324.0	112.25	457.0	45.86	0.0	118.98	148.07	125.37
100169851	PATE3	0.02	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0
10017	BCL2L10	27.48	305.0	0.0	0.0	2.27	27.0	0.0	0.0	0.56	3.0	24.64	0.0	1.81	0.0	0.62
100170229	SRRM5	3.32	80.3	0.0	0.0	2.82	74.0	0.0	0.0	0.17	2.0	2.98	0.0	2.25	0.0	0.19
100170765	ERICH4	0.13	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0
100170841	EPOP	3.8	128.0	0.0	0.0	16.33	598.0	2.64	21.0	1.41	23.0	3.4	0.0	13.01	2.45	1.58
10018	BCL2L11	4.34	201.0	0.0	0.0	4.68	213.0	4.52	16.0	2.55	30.0	3.89	0.0	3.73	4.19	2.84
100188893	TOMM6	488.67	3189.0	547.71	228.0	412.56	2883.0	356.46	562.0	396.01	1280.0	438.03	399.74	328.73	330.74	442.29
10019	SH2B3	15.56	763.0	17.85	52.0	8.5	452.0	1.16	13.0	1.3	31.0	13.95	13.03	6.77	1.08	1.46
100190949	C5orf52	0.0	0.0	0.0	0.0	0.48	6.0	0.0	0.0	0.28	2.0	0.0	0.0	0.38	0.0	0.31
100191040	C2CD4D	0.73	15.0	0.0	0.0	1.25	26.0	0.78	3.0	0.48	5.0	0.66	0.0	1.0	0.72	0.54
1002	CDH4	0.6	41.0	13.15	55.0	0.03	2.0	2.67	43.0	0.18	6.0	0.54	9.6	0.02	2.48	0.2
10020	GNE	8.17	434.01	22.96	76.59	8.56	500.0	16.96	216.0	5.7	150.65	7.32	16.76	6.82	15.73	6.37
10021	HCN4	0.0	0.0	0.0	0.0	0.07	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0
10022	INSL5	0.0	0.0	0.0	0.0	1.63	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0
10023	FRAT1	8.24	221.0	0.0	0.0	1.82	53.0	2.21	14.0	0.31	4.0	7.39	0.0	1.45	2.05	0.34
10024	TROAP	29.34	454.0	0.0	0.0	102.95	2711.0	4.94	30.0	6.87	27.0	26.3	0.0	82.03	4.58	7.67
10025	MED16	25.84	752.0	18.92	32.0	34.14	1090.0	9.4	61.0	10.56	144.0	23.16	13.81	27.2	8.72	11.79
10026	PIGK	7.66	375.0	0.0	0.0	9.78	521.0	3.56	41.0	1.57	37.0	6.86	0.0	7.8	3.31	1.75
100271715	ARHGEF33	0.04	2.0	0.0	0.0	0.14	7.0	0.0	0.0	0.0	0.0	0.04	0.0	0.11	0.0	0.0
100271846	ERVV-2	10.54	328.86	32.87	62.96	0.0	0.0	0.0	0.0	0.46	7.0	9.45	23.99	0.0	0.0	0.52
100271849	MEF2B	7.26	94.3	0.0	0.0	5.39	75.65	3.58	10.0	1.85	11.63	6.5	0.0	4.29	3.32	2.07
100271927	RASA4B	2.23	86.1	4.43	17.4	2.88	168.47	7.24	111.98	1.23	38.96	2.0	3.23	2.29	6.72	1.37
100272147	CMC4	69.81	476.94	0.0	0.0	10.9	79.79	7.28	12.0	8.29	28.0	62.58	0.0	8.68	6.76	9.25
100287045	FAM90A26	0.0	0.0	0.0	0.0	0.15	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0
100287171	WASHC1	222.41	4858.0	32.06	29.0	173.64	4684.0	41.6	225.0	38.92	340.0	199.36	23.4	138.36	38.6	43.47
100287226	ZNF729	0.1	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0
100287482	SMKR1	0.27	2.0	0.0	0.0	1.69	14.0	0.0	0.0	0.0	0.0	0.25	0.0	1.34	0.0	0.0
100287520	GLYATL1B	0.56	4.0	0.0	0.0	0.65	5.0	0.0	0.0	0.0	0.0	0.5	0.0	0.52	0.0	0.0
100287896	LOC100287896	2.33	48.28	0.0	0.0	1.91	44.0	0.0	0.0	1.15	11.0	2.09	0.0	1.53	0.0	1.28
100287898	TTC34	1.5	91.0	0.0	0.0	0.27	18.0	0.0	0.0	0.0	0.0	1.34	0.0	0.22	0.0	0.0
100287932	TIMM23	137.34	1419.0	120.48	78.0	195.85	2181.0	175.51	433.0	146.6	742.0	123.11	87.93	156.05	162.85	163.73
100288142	NBPF20	1.73	355.13	0.0	0.0	0.45	101.27	0.36	17.13	0.16	15.44	1.55	0.0	0.36	0.33	0.17
100288332	NPIPA5	139.97	1442.67	0.0	0.0	92.42	1012.44	11.32	27.4	3.74	17.58	125.47	0.0	73.64	10.51	4.18
100288413	ERVMER34-1	0.05	2.0	0.0	0.0	1.18	40.0	1.46	13.0	0.77	14.0	0.05	0.0	0.94	1.36	0.86
100288562	LOC100288562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.5	0.0	0.0	0.0	0.0	0.06
100288687	DUX4	0.31	5.0	0.0	0.0	0.17	1.0	0.0	0.0	0.0	0.0	0.28	0.0	0.13	0.0	0.0
100288695	LIMS4	13.36	277.03	1.5	1.91	0.72	16.16	8.0	38.93	1.84	18.36	11.98	1.1	0.58	7.43	2.05
100288797	TMEM239	0.0	0.0	0.0	0.0	0.06	1.0	1.04	10.0	0.14	2.0	0.0	0.0	0.05	0.96	0.16
100288801	FRG2C	0.07	2.0	0.0	0.0	0.06	2.0	0.0	0.0	0.07	1.0	0.06	0.0	0.05	0.0	0.08
100289187	TMEM225B	2.39	28.84	0.37	1.84	0.44	14.75	0.5	9.75	0.22	8.92	2.14	0.27	0.35	0.47	0.25
100289279	CNTNAP3C	0.0	0.0	0.0	0.0	0.08	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0
100289561	LOC100289561	11.21	108.64	0.0	0.0	7.89	83.07	8.97	20.83	2.52	12.0	10.04	0.0	6.28	8.33	2.81
100289635	ZNF605	7.0	718.25	30.03	187.61	1.47	164.01	9.08	218.23	1.47	72.41	6.28	21.92	1.17	8.42	1.64
100289678	ZNF783	2.65	124.23	15.13	43.0	5.22	264.0	5.59	61.28	0.54	12.0	2.37	11.04	4.16	5.19	0.6
100293516	ZNF587B	5.21	229.33	8.39	32.0	6.51	295.82	1.16	17.0	1.64	29.4	4.67	6.12	5.19	1.08	1.83
100293534	C4B_2	155.2	9052.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.12	0.0	0.0	0.0	0.0
1003	CDH5	4.25	181.0	6.56	17.0	3.26	152.0	0.0	0.0	0.2	4.0	3.81	4.79	2.6	0.0	0.22
100302652	GPR75-ASB3	0.0	0.0	28.45	34.0	0.0	0.0	6.77	31.0	0.0	0.0	0.0	20.77	0.0	6.28	0.0
100302736	TMED7-TICAM2	0.0	0.0	0.0	0.0	0.19	8.15	2.73	23.52	0.82	14.47	0.0	0.0	0.15	2.53	0.91
100303755	PET117	9.02	89.18	0.0	0.0	12.96	138.09	0.0	0.0	2.12	10.27	8.08	0.0	10.33	0.0	2.37
100310812	SPDYE2B	6.5	346.85	78.04	250.08	4.13	236.55	8.2	101.02	1.58	39.93	5.83	56.96	3.29	7.61	1.76
100310846	ANKRD61	0.39	5.0	0.0	0.0	0.36	5.0	0.0	0.0	0.0	0.0	0.35	0.0	0.28	0.0	0.0
100316904	SAP25	8.62	96.0	0.0	0.0	20.51	258.0	0.0	0.0	0.0	0.0	7.73	0.0	16.34	0.0	0.0
10036	CHAF1A	10.0	350.0	0.0	0.0	33.64	1278.0	13.05	107.0	6.27	106.0	8.97	0.0	26.8	12.11	7.0
10038	PARP2	17.84	320.0	20.59	29.0	30.56	593.0	8.89	48.0	10.53	95.0	15.99	15.03	24.35	8.25	11.77
100381270	ZBED6	0.13	5.0	0.0	0.0	0.27	11.0	0.0	0.0	0.06	1.0	0.12	0.0	0.22	0.0	0.06
10039	PARP3	18.85	458.0	32.51	48.0	23.81	632.0	1.41	8.0	5.25	61.0	16.9	23.73	18.97	1.31	5.86
1004	CDH6	0.55	42.0	19.6	111.81	0.71	50.0	2.66	58.39	0.69	31.0	0.49	14.31	0.56	2.47	0.77
10040	TOM1L1	25.66	537.36	0.0	0.0	13.0	299.36	5.0	25.3	10.35	107.11	23.0	0.0	10.36	4.64	11.56
100419008	PRR20G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	3.0	0.0	0.0	0.0	0.0	0.75
10042	HMGXB4	6.29	266.0	0.0	0.0	9.88	455.0	5.25	52.0	1.92	39.0	5.64	0.0	7.88	4.87	2.14
100423062	IGLL5	0.49	5.0	0.0	0.0	235.42	2875.0	430.01	1141.0	402.52	2216.0	0.44	0.0	187.58	398.99	449.56
10043	TOM1	95.86	2177.0	100.78	139.0	26.86	664.0	14.95	80.0	14.09	158.0	85.92	73.55	21.4	13.87	15.73
10044	SH2D3C	5.45	144.0	0.0	0.0	2.94	85.0	0.0	0.0	0.4	5.0	4.88	0.0	2.34	0.0	0.45
10045	SH2D3A	2.49	51.0	0.0	0.0	28.0	605.0	24.82	133.0	17.63	192.0	2.23	0.0	22.31	23.03	19.69
10046	MAMLD1	7.9	380.0	0.0	0.0	1.66	88.0	0.0	0.0	0.22	5.0	7.08	0.0	1.32	0.0	0.25
100462977	MTRNR2L1	775.92	11224.8	6589.02	5920.07	141.16	2208.11	3293.12	11310.28	6426.07	45294.78	695.51	4808.93	112.48	3055.55	7176.96
100462981	MTRNR2L2	14301.49	118438.81	6815.64	3563.83	3649.69	32488.22	59134.24	117524.31	148918.01	606999.13	12819.43	4974.33	2908.1	54868.18	166319.18
100462983	MTRNR2L3	0.59	5.15	16.66	9.2	0.0	0.0	0.0	0.0	55.97	241.25	0.53	12.16	0.0	0.0	62.51
100463285	MTRNR2L4	0.06	1.0	69.6	69.0	0.0	0.0	5.23	19.83	0.51	4.01	0.06	50.8	0.0	4.85	0.58
100463289	MTRNR2L5	0.0	0.0	0.0	0.0	0.0	0.0	1.06	4.0	0.9	7.0	0.0	0.0	0.0	0.98	1.01
100463482	MTRNR2L6	41.14	520.64	151.81	119.69	4.86	66.43	183.25	551.67	507.27	3133.68	36.88	110.8	3.87	170.03	566.55
100463486	MTRNR2L8	7343.35	84438.28	4457.98	3201.94	1650.87	20483.72	28742.39	78757.57	76202.3	428425.73	6582.36	3253.61	1315.42	26668.85	85106.59
100463487	MTRNR2L9	262.92	666.88	429.66	74.77	53.03	140.21	959.49	616.97	3060.39	4021.04	235.67	313.58	42.26	890.27	3418.0
100463488	MTRNR2L10	26.77	234.45	13.59	7.5	4.28	40.32	62.99	132.2	332.98	1433.37	24.0	9.92	3.41	58.45	371.89
10047	CST8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	3.0	0.0	0.0	0.0	0.0	1.3
10048	RANBP9	9.38	239.2	0.0	0.0	13.45	377.31	3.87	23.0	11.25	141.0	8.4	0.0	10.71	3.59	12.57
10049	DNAJB6	34.33	697.0	0.0	0.0	87.03	1834.0	101.48	404.0	77.92	634.0	30.77	0.0	69.35	94.16	87.03
100499483	CCDC180	1.71	128.0	0.0	0.0	0.36	30.0	0.0	0.0	0.0	0.0	1.53	0.0	0.29	0.0	0.0
1005	CDH7	0.04	6.0	8.63	70.6	1.97	167.0	4.88	154.28	0.47	30.23	0.04	6.3	1.57	4.52	0.52
10050	SLC17A4	119.44	3041.0	0.0	0.0	0.3	11.0	0.0	0.0	0.21	2.0	107.07	0.0	0.24	0.0	0.24
100505385	IQCJ-SCHIP1	1.69	40.24	0.0	0.0	0.22	5.68	0.71	4.0	0.0	0.0	1.51	0.0	0.17	0.66	0.0
100505478	TEX48	0.0	0.0	0.0	0.0	0.45	3.0	0.0	0.0	0.64	2.0	0.0	0.0	0.36	0.0	0.72
100505502	LOC100505502	0.07	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0
100505573	INAFM2	3.43	104.0	0.0	0.0	9.68	326.0	0.96	7.0	1.79	27.0	3.07	0.0	7.72	0.89	2.0
100505591	LRRC3C	0.09	1.0	0.0	0.0	0.08	1.0	0.0	0.0	0.0	0.0	0.08	0.0	0.06	0.0	0.0
100505679	UBE2Q2L	2.4	6.0	0.0	0.0	0.46	3.0	18.15	33.0	0.27	3.0	2.15	0.0	0.37	16.84	0.3
100505741	SPATA1	0.67	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0
100505767	SPDYE18	0.65	7.05	0.0	0.0	0.86	10.08	0.0	0.0	0.0	0.0	0.58	0.0	0.68	0.0	0.0
100505841	LOC100505841	0.0	0.0	0.0	0.0	0.15	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0
100505876	CEBPZOS	19.06	334.64	0.5	1.0	15.29	406.81	240.01	152.56	44.13	106.36	17.09	0.37	12.18	222.7	49.29
100505989	SMIM31	0.0	0.0	0.0	0.0	0.74	26.0	4.61	34.96	1.66	25.86	0.0	0.0	0.59	4.27	1.85
100505993	TMEM210	0.0	0.0	0.0	0.0	0.27	1.0	0.0	0.0	1.67	3.0	0.0	0.0	0.21	0.0	1.87
100506012	PPP5D1	2.62	11.0	12.93	12.0	2.04	11.0	3.95	14.0	1.15	8.0	2.35	9.44	1.62	3.66	1.28
100506013	APELA	0.0	0.0	0.0	0.0	0.0	0.0	1.22	7.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0
